image_index,epsilon,dataset,model,verifier_type,adv_label,true_label,status,tree_size,nodes_visited,lower_bound,verification_time
0,0.0313725490196078,MNIST,mnistL4,GR,0,tensor(7),Status.VERIFIED,1,0,,29.22782063484192
0,0.0313725490196078,MNIST,mnistL4,GR,1,tensor(7),Status.VERIFIED,1,0,,29.559675693511963
0,0.0313725490196078,MNIST,mnistL4,GR,2,tensor(7),Status.VERIFIED,3,3,0.049176670610904694,112.64334750175476
0,0.0313725490196078,MNIST,mnistL4,GR,3,tensor(7),Status.VERIFIED,1,0,,26.235833168029785
0,0.0313725490196078,MNIST,mnistL4,GR,4,tensor(7),Status.VERIFIED,1,0,,25.299821376800537
0,0.0313725490196078,MNIST,mnistL4,GR,5,tensor(7),Status.VERIFIED,1,0,,25.54999303817749
0,0.0313725490196078,MNIST,mnistL4,GR,6,tensor(7),Status.VERIFIED,1,0,,26.76399564743042
0,0.0313725490196078,MNIST,mnistL4,GR,8,tensor(7),Status.VERIFIED,1,0,,27.651436805725098
0,0.0313725490196078,MNIST,mnistL4,GR,9,tensor(7),Status.VERIFIED,1,0,,25.668251037597656
